127.0.0.1 localhost
127.0.0.1 localhost.localdomain
0.0.0.0 local
255.255.255.255 broadcasthost
::1 localhost
::1 ip6-localhost
::1 ip6-loopback
fe80::1%lo0 localhost
ff00::0 ip6-localnet
ff00::0 ip6-mcastprefix
ff02::1 ip6-allnodes
ff02::2 ip6-allrouters
ff02::3 ip6-allhosts
0.0.0.0 0.0.0.0
$$$$$$$$$$$

qq.com,58.247.214.47
smtpbg182.qq.com,0.0.0.1
smtpbg282.qq.com,0.0.0.1
smtpbg382.qq.com,203.205.176.244
smtpbg582.qq.com,113.96.223.51
smtpbg292.qq.com,0.0.0.1
smtpbg592.qq.com,113.96.223.25
htdata2.qq.com,121.51.141.73
web2.qq.com,0.0.0.1
d1.web2.qq.com,0.0.0.1
d.web2.qq.com,0.0.0.1
s.web2.qq.com,0.0.0.1
tdac2.qq.com,0.0.0.1
ns-cnc2.qq.com,111.161.107.195
bbs.mxd2.qq.com,58.246.163.161
cface2.qq.com,203.205.254.103
mcache2.qq.com,0.0.0.1
mobile2.qq.com,0.0.0.1
qqgame-update2.qq.com,0.0.0.1
live2.qq.com,0.0.0.1
tencentlive2.qq.com,203.205.239.181
g2.qq.com,0.0.0.1
smtpbg2.qq.com,0.0.0.1
bw.tiantang2.qq.com,0.0.0.1
smtpbgsg2.qq.com,54.254.200.128
sssg2.qq.com,0.0.0.1
game.qmzg2.qq.com,203.205.254.48
h2.qq.com,0.0.0.1
sdir.qj2.qq.com,203.205.254.177
ptlogin2.nba2k2.qq.com,203.205.235.65
ns-tel2.qq.com,123.151.66.83
im2.qq.com,0.0.0.1
mm2.qq.com,0.0.0.1
crm2.qq.com,203.205.219.229
file1.crm2.qq.com,125.39.83.104
hb.crm2.qq.com,203.205.219.232
banner.crm2.qq.com,125.39.83.104
visitor.crm2.qq.com,203.205.219.232
cst.crm2.qq.com,125.39.133.43
bbs.dn2.qq.com,58.250.136.59
ns-cdn2.qq.com,101.91.94.178
ns-open2.qq.com,182.254.48.197
ui0.ptlogin2.qq.com,0.0.0.1
ssl.ui.ptlogin2.qq.com,183.3.225.72
ssl.xui.ptlogin2.qq.com,203.205.254.103
localhost.ptlogin2.qq.com,127.0.0.1
o2.qq.com,58.251.80.193
ac.o2.qq.com,14.215.138.58
pao2.qq.com,0.0.0.1
tmo2.qq.com,163.177.92.68
mp2.qq.com,0.0.0.1
q2.qq.com,0.0.0.1
r2.qq.com,0.0.0.1
app.r2.qq.com,0.0.0.1
smtpbgbr2.qq.com,54.207.22.56
badjs2.qq.com,203.205.253.250
ns2.qq.com,121.51.160.100
dns2.qq.com,61.135.157.245
rs2.qq.com,58.251.121.55
ts2.qq.com,58.251.121.55
mt2.qq.com,0.0.0.1
smtpbguseast2.qq.com,54.204.34.130
tst2.qq.com,111.30.160.229
tt2.qq.com,0.0.0.1
smtpbgau2.qq.com,54.206.34.216
ns-edu2.qq.com,182.254.52.55
smtpbgeu2.qq.com,18.194.254.142
bugreportv2.qq.com,157.255.13.138
hx2.qq.com,0.0.0.1
mx2.qq.com,203.205.219.58
wx2.qq.com,113.96.233.139
bbs.jxqy2.qq.com,121.51.179.183
smtpproxy2.qq.com,0.0.0.1
mxbiz2.qq.com,163.177.89.176
pz2.qq.com,0.0.0.1
gas-storage-3.qq.com,0.0.0.1
03.qq.com,0.0.0.1
smtpbg303.qq.com,0.0.0.1
smtpbg403.qq.com,113.96.223.47
smtpbg503.qq.com,203.205.250.57
smtpbg603.qq.com,59.36.128.243
smtpbg703.qq.com,203.205.195.89
my903.qq.com,0.0.0.1
smtpbg413.qq.com,113.96.223.78
smtpbg513.qq.com,203.205.250.40
smtpbg13.qq.com,0.0.0.1
smtpproxy13.qq.com,0.0.0.1
123.qq.com,0.0.0.1
mgr.123.qq.com,0.0.0.1
smtpbg123.qq.com,0.0.0.1
smtpbg223.qq.com,0.0.0.1
smtpbg323.qq.com,0.0.0.1
smtpbg423.qq.com,183.3.255.121
smtpbg23.qq.com,0.0.0.1
33.qq.com,0.0.0.1
smtpbg133.qq.com,0.0.0.1
smtpbg333.qq.com,0.0.0.1
smtpbg433.qq.com,183.3.255.46
smtpbg33.qq.com,0.0.0.1
smtpbg143.qq.com,0.0.0.1
smtpbg343.qq.com,0.0.0.1
smtpbg443.qq.com,183.3.255.64
53.qq.com,0.0.0.1
smtpbg153.qq.com,0.0.0.1
smtpbg353.qq.com,183.57.50.164
smtpbg453.qq.com,0.0.0.1
smtpbg553.qq.com,183.3.226.182
smtpbg163.qq.com,0.0.0.1
smtpbg263.qq.com,0.0.0.1
smtpbg363.qq.com,0.0.0.1
smtpbg463.qq.com,0.0.0.1
smtpbg563.qq.com,183.3.255.176
smtpbg63.qq.com,103.7.29.150
smtpbg173.qq.com,0.0.0.1
smtpbg273.qq.com,0.0.0.1
smtpbg473.qq.com,59.36.132.72
smtpbg573.qq.com,59.36.129.170
smtpbg283.qq.com,0.0.0.1
smtpbg383.qq.com,0.0.0.1
smtpbg583.qq.com,113.96.223.74
smtpbg293.qq.com,0.0.0.1
smtpbg593.qq.com,113.96.223.115
htdata3.qq.com,121.51.139.184
mcache3.qq.com,0.0.0.1
g3.qq.com,0.0.0.1
smtpbg3.qq.com,0.0.0.1
smtpbgsg3.qq.com,54.179.177.220
ns-open3.qq.com,125.39.46.36
dp3.qq.com,203.205.253.150
c.dp3.qq.com,0.0.0.1
smtpbgjp3.qq.com,54.92.39.34
q3.qq.com,0.0.0.1
ns3.qq.com,112.60.1.69
3vs3.qq.com,0.0.0.1
data1.act3.qq.com,0.0.0.1
smtpbguseast3.qq.com,54.243.244.52
bbs.jx3.qq.com,157.255.173.27
mx3.qq.com,203.205.219.57
404.qq.com,0.0.0.1
smtpbg404.qq.com,113.96.223.50
smtpbg504.qq.com,203.205.250.60
smtpbg604.qq.com,59.36.128.82
smtpbg704.qq.com,203.205.195.105
nanjing2014.qq.com,0.0.0.1
114.qq.com,203.205.254.167
800028000.114.qq.com,203.205.239.246
800058000.114.qq.com,203.205.239.246
4008223100.114.qq.com,203.205.239.246
4006588100.114.qq.com,203.205.239.246
4000128200.114.qq.com,203.205.239.246
antivirus-4000755300.114.qq.com,203.205.239.246
4006602400.114.qq.com,203.205.239.246
antivirus.4006602400.114.qq.com,203.205.239.246
800053400.114.qq.com,203.205.239.246
4008205400.114.qq.com,203.205.239.246
4007117400.114.qq.com,203.205.239.246
8000800800.114.qq.com,203.205.239.246
800082800.114.qq.com,203.205.239.246
800089800.114.qq.com,203.205.239.246
4006289800.114.qq.com,203.205.239.246
4008101900.114.qq.com,203.205.239.246
800045900.114.qq.com,203.205.239.246
4008296900.114.qq.com,203.205.239.246
800061110.114.qq.com,203.205.239.246
800005210.114.qq.com,203.205.239.246
800017210.114.qq.com,203.205.239.246
611968310.114.qq.com,203.205.239.246
800026410.114.qq.com,203.205.239.246
800029610.114.qq.com,203.205.239.246
800809710.114.qq.com,203.205.239.246
800098810.114.qq.com,203.205.239.246
4006051020.114.qq.com,203.205.239.246
800004020.114.qq.com,203.205.239.246
4006900120.114.qq.com,203.205.239.246
800032120.114.qq.com,203.205.239.246
4008014120.114.qq.com,203.205.239.246
4000477120.114.qq.com,203.205.239.246
800030920.114.qq.com,203.205.239.246
800071030.114.qq.com,203.205.239.246
800003030.114.qq.com,203.205.239.246
4006888130.114.qq.com,203.205.239.246
800016630.114.qq.com,203.205.239.246
800084040.114.qq.com,203.205.239.246
4008081240.114.qq.com,203.205.239.246
800066340.114.qq.com,203.205.239.246
4000517940.114.qq.com,203.205.239.246
4000215150.114.qq.com,203.205.239.246
800082460.114.qq.com,203.205.239.246
4008509560.114.qq.com,203.205.239.246
800015660.114.qq.com,203.205.239.246
800107660.114.qq.com,203.205.239.246
4006690760.114.qq.com,203.205.239.246
4006890760.114.qq.com,203.205.239.246
www.800039270.114.qq.com,203.205.239.246
4000010080.114.qq.com,203.205.239.246
800092080.114.qq.com,203.205.239.246
800182180.114.qq.com,203.205.239.246
800047280.114.qq.com,203.205.239.246
800069280.114.qq.com,203.205.239.246
4000371580.114.qq.com,203.205.239.246
4006681680.114.qq.com,203.205.239.246
4000688880.114.qq.com,203.205.239.246
4006709090.114.qq.com,203.205.239.246
800003290.114.qq.com,203.205.239.246
img0.114.qq.com,203.205.254.48
4008778001.114.qq.com,203.205.239.246
4008205101.114.qq.com,203.205.239.246
800059101.114.qq.com,203.205.239.246
800013301.114.qq.com,203.205.239.246
800090011.114.qq.com,203.205.239.246
800064011.114.qq.com,203.205.239.246
4006106111.114.qq.com,203.205.239.246
800020211.114.qq.com,203.205.239.246
800040211.114.qq.com,203.205.239.246
800015611.114.qq.com,203.205.239.246
800070021.114.qq.com,203.205.239.246
4001621221.114.qq.com,203.205.239.246
4006581521.114.qq.com,203.205.239.246
800095531.114.qq.com,203.205.239.246
800003931.114.qq.com,203.205.239.246
4006778641.114.qq.com,203.205.239.246
800013741.114.qq.com,203.205.239.246
800015941.114.qq.com,203.205.239.246
4009980051.114.qq.com,203.205.239.246
4006120551.114.qq.com,203.205.239.246
4008996161.114.qq.com,203.205.239.246
800082661.114.qq.com,203.205.239.246
800006861.114.qq.com,203.205.239.246
800029961.114.qq.com,203.205.239.246
4000000271.114.qq.com,203.205.239.246
800003671.114.qq.com,203.205.239.246
800015671.114.qq.com,203.205.239.246
800083281.114.qq.com,203.205.239.246
800082881.114.qq.com,203.205.239.246
800003981.114.qq.com,203.205.239.246
4006051091.114.qq.com,203.205.239.246
4008000291.114.qq.com,203.205.239.246
800053691.114.qq.com,203.205.239.246
800006691.114.qq.com,203.205.239.246
4006612002.114.qq.com,203.205.239.246
800085002.114.qq.com,203.205.239.246
4008036002.114.qq.com,203.205.239.246
4006007002.114.qq.com,203.205.239.246
800005102.114.qq.com,203.205.239.246
4001882202.114.qq.com,203.205.239.246
4006662402.114.qq.com,203.205.239.246
4000331112.114.qq.com,203.205.239.246
800013412.114.qq.com,203.205.239.246
800180022.114.qq.com,203.205.239.246
800071022.114.qq.com,203.205.239.246
4006229222.114.qq.com,203.205.239.246
4000527322.114.qq.com,203.205.239.246
800032522.114.qq.com,203.205.239.246
4008203622.114.qq.com,203.205.239.246
800169332.114.qq.com,203.205.239.246
800106432.114.qq.com,203.205.239.246
4006667632.114.qq.com,203.205.239.246
800076732.114.qq.com,203.205.239.246
4000009152.114.qq.com,203.205.239.246
4006008062.114.qq.com,203.205.239.246
4008800762.114.qq.com,203.205.239.246
4006888672.114.qq.com,203.205.239.246
800001082.114.qq.com,203.205.239.246
800025082.114.qq.com,203.205.239.246
4000028182.114.qq.com,203.205.239.246
4006688282.114.qq.com,203.205.239.246
4000016682.114.qq.com,203.205.239.246
4006627782.114.qq.com,203.205.239.246
800060982.114.qq.com,203.205.239.246
4006262092.114.qq.com,203.205.239.246
4009990592.114.qq.com,203.205.239.246
4009920992.114.qq.com,203.205.239.246
800074003.114.qq.com,203.205.239.246
8008008003.114.qq.com,203.205.239.246
4000222103.114.qq.com,203.205.239.246
710034203.114.qq.com,203.205.239.246
www.4008008203.114.qq.com,203.205.239.246
4001680303.114.qq.com,203.205.239.246
4006080503.114.qq.com,203.205.239.246
800066503.114.qq.com,203.205.239.246
4000972013.114.qq.com,203.205.239.246
4008870113.114.qq.com,203.205.239.246
800002113.114.qq.com,203.205.239.246
4008001413.114.qq.com,203.205.239.246
800151413.114.qq.com,203.205.239.246
800088123.114.qq.com,203.205.239.246
4008551223.114.qq.com,203.205.239.246
800015423.114.qq.com,203.205.239.246
800002523.114.qq.com,203.205.239.246
800015523.114.qq.com,203.205.239.246
800052623.114.qq.com,203.205.239.246
800003623.114.qq.com,203.205.239.246
800020033.114.qq.com,203.205.239.246
4001582233.114.qq.com,203.205.239.246
4006338233.114.qq.com,203.205.239.246
4008639333.114.qq.com,203.205.239.246
4001889333.114.qq.com,203.205.239.246
4006822833.114.qq.com,203.205.239.246
4006340053.114.qq.com,203.205.239.246
800085353.114.qq.com,203.205.239.246
800066753.114.qq.com,203.205.239.246
800051953.114.qq.com,203.205.239.246
800061663.114.qq.com,203.205.239.246
4001188963.114.qq.com,203.205.239.246
800071173.114.qq.com,203.205.239.246
4000001273.114.qq.com,203.205.239.246
4000559773.114.qq.com,203.205.239.246
800047083.114.qq.com,203.205.239.246
4006667183.114.qq.com,203.205.239.246
800076883.114.qq.com,203.205.239.246
800026093.114.qq.com,203.205.239.246
4000539293.114.qq.com,203.205.239.246
800001993.114.qq.com,203.205.239.246
4006644993.114.qq.com,203.205.239.246
4000931114.114.qq.com,203.205.239.246
